,Researcher_1,Researcher_2
nickmuchi/vit-base-beans,I,I
nielsr/segformer-trainer-test,I,I
DaBaap/Chat-Bot-Batman,AT,AT
Taraassss/sentiment_analysis_IT,AT,AT
Zlatislav/NSFW-Prompt-Detector,AT,AT
ashishkat/questionAnswer,AT,AT
datalearningpr/name_to_gender,AT,AT
facebook/dragon-plus-context-encoder,IAT,IAT
michellejieli/emotion_text_classifier,AT,AT
mrsinghania/asr-question-detection,IAT,IAT
Lazyhope/unixcoder-clone-detection,AT,AT
Maciel/Muge-Image-Caption,AT,AT
allenai/aspire-biencoder-biomed-scib,IAT,IAT
allenai/aspire-biencoder-compsci-spec,IAT,IAT
google/matcha-chartqa,IAT,IAT
facebook/contriever,I,IAT
krasserm/perceiver-io-optical-flow,IAT,AT
scutcyr/SoulChat,AT,AT
facebook/s2t-medium-mustc-multilingual-st,IAT,IAT
krasserm/perceiver-ar-sam-giant-midi,I,I
nalini2799/CDAC_hindispeechrecognition,AT,AT
NTQAI/pedestrian_age_recognition,AT,AT
SalML/DETR-table-structure-recognition,IAT,IAT
SenseTime/deformable-detr-with-box-refine,IAT,IAT
caidas/swin2SR-classical-sr-x4-64,I,IAT
caidas/swin2SR-realworld-sr-x4-64-bsrgan-psnr,I,IAT
deepmind/vision-perceiver-fourier,IAT,AT
kmewhort/beit-sketch-classifier,IAT,IAT
nielsr/detr-table-structure-recognition,IAT,IAT
oschamp/vit-artworkclassifier,IAT,IAT
saltacc/anime-ai-detect,AT,AT
Jezia/AraBART-finetuned-wiki-ar,IAT,IAT
abhishek/autonlp-swahili-sentiment-615517563,AT,AT
clampert/multilingual-sentiment-covid19,AT,AT
cointegrated/LaBSE-en-ru,IAT,IAT
n0madic/ai-art-random-prompts,AT,AT
prakharz/DIAL-BART0,I,I
raynardj/wenyanwen-ancient-translate-to-modern,AT,AT
ukr-models/uk-ner,AT,O
Gregor/mblip-mt0-xl,I,I
biu-nlp/abstract-sim-sentence,AT,AT
castorini/aggretriever-cocondenser,AT,AT
facebook/encodec_24khz,I,I
facebook/encodec_32khz,I,I
kadasterdst/querygenerator,AT,AT
moussaKam/AraBART,I,I
sentence-transformers/allenai-specter,IAT,I
uaritm/multilingual_en_ru_uk,AT,AT
vinai/bartpho-syllable,I,IAT
MIT/ast-finetuned-audioset-10-10-0.4593,I,I
bakrianoo/sinai-voice-ar-stt,AT,AT
facebook/musicgen-medium,AT,AT
hhsavich/accent_determinator,AT,AT
nguyenvulebinh/lyric-alignment,AT,AT
ptah23/ast-finetuned-audioset-10-10-0.4593-finetuned-gtzan,I,I
Ahmed9275/Vit-Cifar100,I,I
google/efficientnet-b2,I,I
google/efficientnet-b2,I,I
google/efficientnet-b4,I,I
google/efficientnet-b4,I,I
google/efficientnet-b5,I,I
jonathandinu/face-parsing,AT,AT
skylord/swin-finetuned-food101,IAT,AT
vincentclaes/mit-indoor-scenes,AT,AT
noahjadallah/cause-effect-detection,AT,AT
h4d35/Translator,AT,AT
Falconsai/text_summarization,AT,AT
camenduru/potat1,O,O
hotshotco/Hotshot-XL,O,O
nuigurumi/basil_mix,O,O
22Plaruno/CodeWay,O,O
CausalLM/14B,O,O
Aryanikale23/Signlanguage,O,O
Yntec/Paramount,O,O
Yntec/RealLife,O,O
Yntec/YiffyMix,O,O
xyn-ai/anything-v4.0,O,O
cafeai/cafe_aesthetic,O,O
londe33/hair_v02,O,O
fancyfeast/joytag,O,O
Amrrs/indian-foods,O,O
FanjiaYan/CS182-DreamBooth-2-Object,O,O
ssmaameri/qrcode,O,O
alpercanberk/erasedraw,O,O
